year_academic,id_school,name_school,sector,category,group,oss_denom,oss_0_numer,oss_0_pct,oss_1_numer,oss_1_pct,oss_2_numer,oss_2_pct,oss_3_numer,oss_3_pct,oss_4_numer,oss_4_pct,att_denom,att_95_numer,att_95_pct,grad_denom,grad_4_numer,grad_4_pct
2018-2019,4320,Robert E. Lamberton School,District,All Students,All Students,564,459,81.38,44,7.8,25,4.43,9,1.6,27,4.79,564,264,46.81,,,
2018-2019,4350,E. Washington Rhodes School,District,All Students,All Students,595,530,89.08,42,7.06,16,2.69,4,0.67,3,0.5,595,180,30.25,,,
2018-2019,4360,Kenderton Elementary School,District,All Students,All Students,542,502,92.62,32,5.9,5,0.92,2,0.37,1,0.18,542,170,31.37,,,
2018-2019,4370,Overbrook Elementary School,District,All Students,All Students,284,280,98.59,4,1.41,0,0,0,0,0,0,284,112,39.44,,,
2018-2019,4380,Thomas M. Peirce School,District,All Students,All Students,487,452,92.81,21,4.31,11,2.26,2,0.41,1,0.21,487,133,27.31,,,
2018-2019,4440,Dr. Ethel Allen School,District,All Students,All Students,532,512,96.24,14,2.63,4,0.75,2,0.38,0,0,532,148,27.82,,,
2018-2019,4460,Tanner G. Duckrey School,District,All Students,All Students,668,634,94.91,23,3.44,8,1.2,1,0.15,2,0.3,668,136,20.36,,,
2018-2019,4470,Richard R. Wright School,District,All Students,All Students,394,364,92.39,17,4.31,7,1.78,2,0.51,4,1.02,394,114,28.93,,,
2018-2019,4480,Overbrook Educational Center,District,All Students,All Students,297,294,98.99,3,1.01,0,0,0,0,0,0,297,221,74.41,,,
2018-2019,4530,Edward Gideon School,District,All Students,All Students,300,274,91.33,18,6,7,2.33,0,0,1,0.33,300,92,30.67,,,
2018-2019,4560,William D. Kelley School,District,All Students,All Students,392,374,95.41,15,3.83,2,0.51,0,0,1,0.26,392,118,30.1,,,
2018-2019,4570,General George G. Meade School,District,All Students,All Students,434,390,89.86,28,6.45,9,2.07,5,1.15,2,0.46,434,132,30.41,,,
2018-2019,5020,Thomas A. Edison High School,District,All Students,All Students,1259,1074,85.31,135,10.72,34,2.7,10,0.79,6,0.48,1259,209,16.6,229,112,48.91
2018-2019,5050,Philadelphia Military Academy,District,All Students,All Students,292,278,95.21,13,4.45,1,0.34,0,0,0,0,292,146,50,52,44,84.62
2018-2019,5060,Jules E. Mastbaum Area Vocational Technical High School,District,All Students,All Students,773,596,77.1,101,13.07,44,5.69,23,2.98,9,1.16,773,166,21.47,160,137,85.63
2018-2019,5070,Parkway Northwest High School,District,All Students,All Students,277,241,87,32,11.55,3,1.08,0,0,1,0.36,277,178,64.26,55,52,94.55
2018-2019,5080,Parkway Center City Middle College High School,District,All Students,All Students,499,495,99.2,3,0.6,0,0,0,0,1,0.2,499,253,50.7,111,108,97.30
2018-2019,5090,Parkway West High School,District,All Students,All Students,335,334,99.7,1,0.3,0,0,0,0,0,0,335,170,50.75,67,53,79.10
2018-2019,5150,William W. Bodine High School,District,All Students,All Students,541,529,97.78,12,2.22,0,0,0,0,0,0,541,324,59.89,102,99,97.06
2018-2019,5160,Penn Treaty High School,District,All Students,All Students,604,515,85.26,52,8.61,26,4.3,7,1.16,4,0.66,604,224,37.09,90,62,68.89
2018-2019,5170,Julia de Burgos School,District,All Students,All Students,998,916,91.78,54,5.41,17,1.7,5,0.5,6,0.6,998,253,25.35,,,
